Эпохи, Потери
3.480000000000000000e+03,2.005430636927485466e-03
3.500000000000000000e+03,4.230962076690047979e-04
3.520000000000000000e+03,1.890838379040360451e-03
3.540000000000000000e+03,1.918910769745707512e-03
3.560000000000000000e+03,5.048629245720803738e-04
3.580000000000000000e+03,1.698545296676456928e-03
3.600000000000000000e+03,2.933767857030034065e-03
3.620000000000000000e+03,8.104111999273300171e-03
3.640000000000000000e+03,3.287288360297679901e-03
3.660000000000000000e+03,2.582110755611211061e-04
3.680000000000000000e+03,2.145571168512105942e-03
3.700000000000000000e+03,5.609238985925912857e-03
3.720000000000000000e+03,3.163345390930771828e-03
3.740000000000000000e+03,2.713503781706094742e-04
3.760000000000000000e+03,2.218141034245491028e-02
3.780000000000000000e+03,7.423494826070964336e-04
3.800000000000000000e+03,7.077620248310267925e-04
3.820000000000000000e+03,5.316656455397605896e-02
3.840000000000000000e+03,2.075942000374197960e-03
3.860000000000000000e+03,1.400214061141014099e-02
3.880000000000000000e+03,6.521630566567182541e-04
3.900000000000000000e+03,2.374030154896900058e-04
3.920000000000000000e+03,9.112495463341474533e-04
3.940000000000000000e+03,1.906292699277400970e-02
3.960000000000000000e+03,3.380909402039833367e-05
3.980000000000000000e+03,2.273969002999365330e-04
4.000000000000000000e+03,3.632286679930984974e-04
4.020000000000000000e+03,1.213206676766276360e-03
4.040000000000000000e+03,1.899114809930324554e-02
4.060000000000000000e+03,2.361328515689820051e-04
4.080000000000000000e+03,1.336262444965541363e-03
4.100000000000000000e+03,9.112596511840820312e-03
4.120000000000000000e+03,1.712703815428540111e-04
4.140000000000000000e+03,1.700842170976102352e-03
4.160000000000000000e+03,1.755992125254124403e-04
4.180000000000000000e+03,3.009780630236491561e-05
4.200000000000000000e+03,4.665354572352953255e-05
4.220000000000000000e+03,1.235657255165278912e-04
4.240000000000000000e+03,5.100210546515882015e-04
4.260000000000000000e+03,2.518233486625831574e-05
4.280000000000000000e+03,1.782087376341223717e-03
4.300000000000000000e+03,4.326221998780965805e-03
4.320000000000000000e+03,1.417697779834270477e-02
4.340000000000000000e+03,2.412859030300751328e-04
4.360000000000000000e+03,6.285502458922564983e-04
4.380000000000000000e+03,6.113407434895634651e-04
4.400000000000000000e+03,7.262480357894673944e-05
4.420000000000000000e+03,4.255746025592088699e-04
4.440000000000000000e+03,1.091869547963142395e-03
4.460000000000000000e+03,9.049953659996390343e-04
4.480000000000000000e+03,2.535991836339235306e-03
4.500000000000000000e+03,6.863992166472598910e-05
4.520000000000000000e+03,2.543036862334702164e-05
4.540000000000000000e+03,4.160750831943005323e-04
4.560000000000000000e+03,1.228898181580007076e-04
4.580000000000000000e+03,5.965238415228668600e-06
4.600000000000000000e+03,5.061328556621447206e-05
4.620000000000000000e+03,1.559894881211221218e-04
4.640000000000000000e+03,2.784301526844501495e-03
4.660000000000000000e+03,3.299063444137573242e-02
4.680000000000000000e+03,1.948464475572109222e-02
4.700000000000000000e+03,7.623927202075719833e-03
4.720000000000000000e+03,3.311073523946106434e-04
4.740000000000000000e+03,1.334965508431196213e-02
4.760000000000000000e+03,8.159597404301166534e-03
4.780000000000000000e+03,1.040814095176756382e-03
4.800000000000000000e+03,8.662393316626548767e-03
4.820000000000000000e+03,4.024157533422112465e-04
4.840000000000000000e+03,2.772609004750847816e-04
4.860000000000000000e+03,2.265765331685543060e-03
4.880000000000000000e+03,7.023958605714142323e-04
4.900000000000000000e+03,2.859981759684160352e-05
4.920000000000000000e+03,2.383007813477888703e-05
4.940000000000000000e+03,1.016840978991240263e-04
4.960000000000000000e+03,1.176064554601907730e-02
4.980000000000000000e+03,1.206910703331232071e-03
