y_point,force,p1,p2,p3,p4,p5,p6,p7
-3.7946,20,-0.8715022,-1.3765402,-1.6705722,-1.6581410,-1.5247332,-1.1187895,-0.5459199
-3.7946,25,-1.0893779,-1.7206752,-2.0882152,-2.0726762,-1.9059165,-1.3984868,-0.6823998
-3.7946,30,-1.3072534,-2.0648103,-2.5058583,-2.4872115,-2.2870997,-1.6781841,-0.8188798
-3.5244,5,-0.0589022,-0.0949975,-0.1179821,-0.1250634,-0.1209173,-0.0887110,-0.0411446
-3.5244,10,-0.1178045,-0.1899950,-0.2359642,-0.2501269,-0.2418346,-0.1774220,-0.0822892
-3.5244,15,-0.1767067,-0.2849925,-0.3539463,-0.3751903,-0.3627520,-0.2661331,-0.1234338
-3.5244,20,-0.2356090,-0.3799900,-0.4719284,-0.5002538,-0.4836693,-0.3548441,-0.1645784
-3.5244,25,-0.2945113,-0.4749876,-0.5899105,-0.6253172,-0.6045866,-0.4435552,-0.2057230
-3.5244,30,-0.3534135,-0.5699851,-0.7078927,-0.7503806,-0.7255040,-0.5322662,-0.2468676
-3.2602,5,0.04298689,0.06927970,0.09805316,0.11476794,0.11220163,0.08257321,0.04438932
-3.2602,10,0.08597379,0.13855940,0.19610633,0.22953588,0.22440326,0.16514643,0.08877864
-3.2602,15,0.12896069,0.20783909,0.29415953,0.34430381,0.33660489,0.24771966,0.13316797
-3.2602,20,0.17194759,0.27711878,0.39221267,0.45907177,0.44880653,0.33029286,0.17755729
-3.2602,25,0.21493449,0.34639849,0.49026584,0.57383967,0.56100816,0.41286607,0.22194660
-3.2602,30,0.25792139,0.41567818,0.58831906,0.68860763,0.67320979,0.49543932,0.26633592
-3.0233,5,0.10568060,0.17785754,0.27440801,0.34016436,0.33639844,0.25261829,0.13470578
-3.0233,10,0.21136120,0.35571508,0.54881602,0.68032873,0.67279688,0.50523658,0.26941156
-3.0233,15,0.31704180,0.53357262,0.82322403,1.02049307,1.00919532,0.75785487,0.40411737
-3.0233,20,0.42272240,0.71143017,1.09763204,1.36065746,1.34559377,1.01047317,0.53882313
-3.0233,25,0.52840300,0.88928773,1.37203996,1.70082184,1.68199221,1.26309150,0.67352893
-3.0233,30,0.63408360,1.06714524,1.64644807,2.04098614,2.01839065,1.51570975,0.80823474
-2.794,5,0.14932229,0.25483043,0.41988441,0.53816243,0.53295102,0.40878644,0.22570673
-2.794,10,0.29864459,0.50966086,0.83976883,1.07632486,1.06590205,0.81757289,0.45141346
-2.794,15,0.44796688,0.76449132,1.25965325,1.61448733,1.59885312,1.22635929,0.67712021
-2.794,20,0.59728918,1.01932173,1.67953767,2.15264972,2.13180410,1.63514578,0.90282692
-2.794,25,0.74661143,1.27415214,2.09942209,2.69081228,2.66475508,2.04393218,1.12853367
-2.794,30,0.89593377,1.52898264,2.51930650,3.22897467,3.19770624,2.45271858,1.35424043
-2.6938,5,0.08466580,0.13820218,0.22608330,0.29363936,0.29002990,0.22217968,0.12627542
-2.6938,10,0.16933161,0.27640437,0.45216661,0.58727873,0.58005980,0.44435937,0.25255085
-2.6938,15,0.25399742,0.41460657,0.67824989,0.88091810,0.87008975,0.66653906,0.37882628
-2.6938,20,0.33866322,0.55280875,0.90433322,1.17455747,1.16011960,0.88871875,0.50510170
-2.6938,25,0.42332903,0.69101092,1.13041651,1.46819684,1.45014955,1.11089848,0.63137713
-2.6938,30,0.50799485,0.82921314,1.35649979,1.76183621,1.74017950,1.33307812,0.75765256
-2.4752,5,-0.0013715,-0.0008933,-0.0022817,-0.0021632,-0.0025623,-0.0017283,0.00177770
-2.4752,10,-0.0027431,-0.0017866,-0.0045635,-0.0043265,-0.0051247,-0.0034567,0.00355541
-2.4752,15,-0.0041147,-0.0026799,-0.0068453,-0.0064897,-0.0076871,-0.0051850,0.00533311
-2.4752,20,-0.0054863,-0.0035733,-0.0091270,-0.0086530,-0.0102495,-0.0069134,0.00711082
-2.4752,25,-0.0068579,-0.0044666,-0.0114088,-0.0108163,-0.0128119,-0.0086417,0.00888852
-2.4752,30,-0.0082295,-0.0053599,-0.0136906,-0.0129795,-0.0153743,-0.0103701,0.01066623
-2.3859,5,-0.0601971,-0.0984499,-0.1701939,-0.2265617,-0.2273230,-0.1811702,-0.1083902
-2.3859,10,-0.1203943,-0.1968999,-0.3403879,-0.4531234,-0.4546460,-0.3623404,-0.2167804
-2.3859,15,-0.1805915,-0.2953499,-0.5105819,-0.6796851,-0.6819690,-0.5435106,-0.3251706
-2.3859,20,-0.2407887,-0.3937999,-0.6807758,-0.9062468,-0.9092921,-0.7246809,-0.4335608
-2.3859,25,-0.3009859,-0.4922499,-0.8509698,-1.1328086,-1.1366151,-0.9058511,-0.5419511
-2.3859,30,-0.3611831,-0.5906998,-1.0211638,-1.3593703,-1.3639381,-1.0870213,-0.6503413
-2.2889,5,-0.0852971,-0.1508143,-0.2705590,-0.3640089,-0.3694544,-0.3024975,-0.1898147
-2.2889,10,-0.1705943,-0.3016286,-0.5411181,-0.7280179,-0.7389088,-0.6049950,-0.3796294
-2.2889,15,-0.2558915,-0.4524430,-0.8116772,-1.0920269,-1.1083632,-0.9074925,-0.5694441
-2.2889,20,-0.3411886,-0.6032573,-1.0822363,-1.4560359,-1.4778177,-1.2099900,-0.7592589
-2.2889,25,-0.4264858,-0.7540716,-1.3527954,-1.8200449,-1.8472721,-1.5124875,-0.9490736
-2.2889,30,-0.5117830,-0.9048860,-1.6233545,-2.1840538,-2.2167265,-1.8149850,-1.1388883
-2.0525,5,-0.0356479,-0.0639580,-0.1186581,-0.1625698,-0.1678540,-0.1440233,-0.0976014
-2.0525,10,-0.0712959,-0.1279160,-0.2373163,-0.3251396,-0.3357081,-0.2880467,-0.1952029
-2.0525,15,-0.1069439,-0.1918740,-0.3559745,-0.4877094,-0.5035622,-0.4320701,-0.2928043
-2.0525,20,-0.1425919,-0.2558320,-0.4746326,-0.6502792,-0.6714163,-0.5760935,-0.3904058
-2.0525,25,-0.1782399,-0.3197900,-0.5932908,-0.8128490,-0.8392704,-0.7201169,-0.4880072
-2.0525,30,-0.2138879,-0.3837480,-0.7119490,-0.9754188,-1.0071245,-0.8641403,-0.5856087
-1.8752,5,0.01122868,0.02489912,0.04901237,0.06938473,0.07348597,0.06730153,0.05335272
-1.8752,10,0.02245736,0.04979825,0.09802475,0.13876947,0.14697194,0.13460307,0.10670545
-1.8752,15,0.03368604,0.07469737,0.14703714,0.20815421,0.22045792,0.20190461,0.16005817
-1.8752,20,0.04491472,0.09959650,0.19604951,0.27753894,0.29394389,0.26920615,0.21341090
-1.8752,25,0.05614340,0.12449563,0.24506189,0.34692368,0.36742987,0.33650769,0.26676364
-1.8752,30,0.06737208,0.14939475,0.29407428,0.41630842,0.44091584,0.40380923,0.32011635
-1.4598,5,0.02073677,0.04495027,0.08517386,0.11723626,0.13150355,0.13604159,0.11627892
-1.4598,10,0.04147355,0.08990054,0.17034772,0.23447253,0.26300710,0.27208318,0.23255784
-1.4598,15,0.06221033,0.13485082,0.25552158,0.35170880,0.39451065,0.40812478,0.34883678
-1.4598,20,0.08294711,0.17980109,0.34069544,0.46894506,0.52601421,0.54416636,0.46511568
-1.4598,25,0.10368388,0.22475137,0.42586930,0.58618134,0.65751778,0.68020799,0.58139462
-1.4598,30,0.12442067,0.26970164,0.51104316,0.70341761,0.78902130,0.81624957,0.69767356
-0.91916,5,0.11470468,0.12111083,0.12837352,0.13192462,0.13666705,0.14209871,0.11556791
-0.91916,10,0.22940937,0.24222167,0.25674705,0.26384927,0.27333410,0.28419742,0.23113582
-0.91916,15,0.34411407,0.36333251,0.38512057,0.39577389,0.41000116,0.42629612,0.34670372
-0.91916,20,0.45881874,0.48444335,0.51349411,0.52769851,0.54666820,0.56839485,0.46227164
-0.91916,25,0.57352344,0.60555421,0.64186765,0.65962317,0.68333524,0.71049357,0.57783954
-0.91916,30,0.68822814,0.72666503,0.77024114,0.79154779,0.82000233,0.85259225,0.69340744
-0.76964,5,0.05556692,0.05437420,0.05158854,0.04847658,0.04725214,0.04661301,0.03682307
-0.76964,10,0.11113385,0.10874841,0.10317709,0.09695318,0.09450428,0.09322603,0.07364615
-0.76964,15,0.16670077,0.16312262,0.15476564,0.14542976,0.14175643,0.13983905,0.11046922
-0.76964,20,0.22226770,0.21749683,0.20635420,0.19390636,0.18900858,0.18645207,0.14729230
-0.76964,25,0.27783462,0.27187104,0.25794274,0.24238293,0.23626071,0.23306508,0.18411537
-0.76964,30,0.33340152,0.32624525,0.30953128,0.29085952,0.28351284,0.27967810,0.22093845
-0.79151,5,-0.0601720,-0.0586190,-0.0551510,-0.0513851,-0.0497947,-0.0491096,-0.0370923
